_system_object_id,preview_url,original_download_url,original_url
278031,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/136000/136035/f0c2c48596509490195454e26091c09e8a1667fe/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/136000/136035/0cff878e1ac49db45e50236be52ef307a0d90139/image/jpeg/217_094_F.1.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/136000/136035/0cff878e1ac49db45e50236be52ef307a0d90139/image/jpeg
279216,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/137000/137226/07064936560ce1c5d7864ed4a4aa7a19fd55c2a1/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/137000/137226/a0b26665d79dbc4fce343eec8adc81373a447ea8/image/jpeg/100_024_2.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/137000/137226/a0b26665d79dbc4fce343eec8adc81373a447ea8/image/jpeg
280228,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/138000/138238/f217ecd7b4ea462e2513dec04f5f22e9f8e90f3e/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/138000/138238/4ad9bc55be80a275ed5e896278731422867fe643/image/jpeg/20_Ms_230_110.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/138000/138238/4ad9bc55be80a275ed5e896278731422867fe643/image/jpeg
281236,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/139000/139246/0f5f2041934f77a860a5a640190dbceebee6978c/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/139000/139246/1f736f696ba14f53289dafb5c9004f40b2ca55cb/image/jpeg/17_JB_WS77_77.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/139000/139246/1f736f696ba14f53289dafb5c9004f40b2ca55cb/image/jpeg
282240,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/140000/140249/8c56820953ea8de224f794f81cdcdfba48c034cc/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/140000/140249/17ca6af843c835de0ee198526ca6c49b9a6cb4c6/image/jpeg/20_MS_208_42_1.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/140000/140249/17ca6af843c835de0ee198526ca6c49b9a6cb4c6/image/jpeg
283240,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/141000/141249/87aa190302e2907d05ada95341fcc6769cbc18fc/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/141000/141249/29f96d9c2964df197714416b8adc69d9593c26b5/image/jpeg/20_Ms_283_3_37.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/141000/141249/29f96d9c2964df197714416b8adc69d9593c26b5/image/jpeg
284379,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/142000/142388/0d161af44f9af0b7d29ed4f613e4a32c9c6786f6/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/142000/142388/0bccc8a5f265f96f7382274d195640f108b1c733/image/jpeg/117_A1_1258.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/142000/142388/0bccc8a5f265f96f7382274d195640f108b1c733/image/jpeg
286202,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/144000/144211/7d1623dbd4a8d99daee2d143b7a91a901f5b88e0/image/png,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/144000/144211/3800045457fd4e325667606e482d67ade8eb367d/image/tiff/43B_F_G_16_9_15b.tif,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/144000/144211/3800045457fd4e325667606e482d67ade8eb367d/image/tiff
288174,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/146000/146188/a7c8025760a4f6628fdc6bea49f24eac8bfeaec2/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/146000/146188/f3a966bf741b731bcb52b07fb9855251a27ba338/image/jpeg/24_0144_FX_1_13.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/146000/146188/f3a966bf741b731bcb52b07fb9855251a27ba338/image/jpeg
289203,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/147000/147218/8bd087b037161e1fca0cd3e1e865ca78fa3dbd92/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/147000/147218/5290021727e599a6b2a7674d730dfad8020d373b/image/jpeg/118_Chandigarh_48_390.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/147000/147218/5290021727e599a6b2a7674d730dfad8020d373b/image/jpeg
290210,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/148000/148232/7eb66083cc29700be5e527f9d699d62873959e4b/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/148000/148232/4713dbd0a2a8c20751eaedc3c6802fd537a8e64b/image/jpeg/217_FX_2_77_12.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/148000/148232/4713dbd0a2a8c20751eaedc3c6802fd537a8e64b/image/jpeg
291211,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/149000/149233/b5d14a279f421d74d9d324e96b1d75909fa29759/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/149000/149233/856e8782af72d0b18a997ab5d297eadd8e61e564/image/jpeg/217_FX_2_71_8.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/149000/149233/856e8782af72d0b18a997ab5d297eadd8e61e564/image/jpeg
292220,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/156000/156498/135b7a0247e59e8faf6abd4728e5e70283aedb77/image/png,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/156000/156498/c53be667abccb8ad8d6ec9cde81950ac8a75035b/application/pdf/56_5_1_3_68.1.pdf,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/156000/156498/c53be667abccb8ad8d6ec9cde81950ac8a75035b/application/pdf
297084,,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/165000/165931/5cdcb7a281822c8270905aeaeb495c2c0df4a802/audio/x-wav/263-FON-164_recto.wav,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/165000/165931/5cdcb7a281822c8270905aeaeb495c2c0df4a802/audio/x-wav
